Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec
2012060	19.5	1.126667	4.127	0.594421881	0	-1.824	4.127	0.594421881	81	390	4.127	4.768274769	1.147690972	10	1	-999	-999
2012060	20	0.7033333	2.977	0.533550237	0	0	2.977	0.533550237	81	390	2.977	4.231062962	1.151475694	10	1	-999	-999
2012060	20.5	0.7916666	2.748	0.520964347	0	-0.912	2.748	0.520964347	81	390	2.748	4.127025447	1.155625	10	1	-999	-999
2012060	21	5	1.807	0.461335191	0	0	1.807	0.461335191	81	390	1.807	3.687377013	1.159565972	10	1	-999	-999
2012060	21.5	0.6333334	1.882	0.454561547	0	0	1.882	0.454561547	81	390	1.882	3.725173509	1.163385417	10	1	-999	-999
2012060	22	1.041667	2.42	0.487090594	0	0	2.42	0.487090594	81	390	2.42	3.98121533	1.166753472	10	1	-999	-999
2012060	22.5	0.9216667	2.228	0.481946782	0	0	2.228	0.481946782	81	390	2.228	3.894262736	1.170173611	10	1	-999	-999
2012060	23	2.111667	3.735	0.54713286	0	-0.912	3.735	0.54713286	81	390	3.735	4.607535169	1.173315972	10	1	-999	-999
2012060	23.5	2.04	3.607	0.532897343	0	0	3.607	0.532897343	81	390	3.607	4.553162756	1.176440972	10	1	-999	-999
2012061	0	2.683333	4.288	0.572242607	0	0	4.288	0.572242607	81	390	4.288	4.880936968	2.797997773	10	1	-999	-999
2012061	0.5	2.815	3.992	0.557015685	0	0	3.992	0.557015685	81	390	3.992	4.749808686	2.798910551	10	1	-999	-999
2012061	1	2.785	3.688	0.540787432	0	0	3.688	0.540787432	81	390	3.688	4.614105238	2.799768053	10	1	-999	-999
2012061	1.5	3.214999	3.363	0.521254343	0	-1.824	3.363	0.521254343	81	390	3.363	4.468488935	2.800787079	10	1	-999	-999
2012061	2	3.285	3.063	0.502962093	0	-1.824	3.063	0.502962093	81	390	3.063	4.333750638	2.801751163	10	1	-999	-999
2012061	2.5	2.921666	2.69	0.48295711	0	-1.824	2.69	0.48295711	81	390	2.69	4.164300213	2.80271351	10	1	-999	-999
2012061	3	2.603333	2.285	0.463076238	0	-1.824	2.285	0.463076238	81	390	2.285	3.979813611	2.803603643	10	1	-999	-999
2012061	3.5	2.714999	1.915	0.446887483	0	-1.824	1.915	0.446887483	81	390	1.915	3.811748266	2.804468047	10	1	-999	-999
2012061	4	1.718333	1.375	0.425345307	0	-1.824	1.375	0.425345307	81	390	1.375	3.563491272	2.805229937	10	1	-999	-999
2012061	4.5	2.126667	1.163	0.416451184	0	0	1.163	0.416451184	81	390	1.163	3.469495822	2.805934719	10	1	-999	-999
2012061	5	2.536667	1.285	0.420373772	0	0	1.285	0.420373772	81	390	1.285	3.533239784	2.806637162	10	1	-999	-999
