Geno,Treatment,Tray,Rep,SWC,SWC_adjust,DOY,Water_timing
R500,D2,1,3,17.4,27.3,137,pre
CC,D2,NA,NA,17.8,27.7,135,PD
CC,D1,3,2,17.8,27.7,132,pre
CC,D2,2,3,17.9,27.8,133,post
R500,D1,NA,NA,18.2,28.1,134,MD
R500,D1,NA,NA,18.25,28.15,135,MD
CC,D1,NA,NA,18.25,28.15,133,PD
R500,D1,2,3,18.6,28.5,133,post
R500,D2,3,1,18.6,28.5,138,post
R500,D1,NA,NA,18.6,28.5,134,MD
CC,D1,2,1,19.1,29,130,pre
CC,D1,2,3,19.1,29,131,pre
CC,D2,1,1,19.1,29,132,pre
R500,D2,NA,NA,19.15,29.05,140,PD
R500,D1,2,2,19.2,29.1,133,post
R500,D2,3,2,19.2,29.1,138,post
CC,D1,NA,NA,19.2,29.1,131,MD
R500,D2,3,2,19.3,29.2,135,pre
CC,D1,1,1,19.4,29.3,130,pre
CC,D1,2,3,19.4,29.3,130,pre
R500,D1,2,2,19.5,29.4,135,pre
R500,D1,NA,NA,19.7,29.6,135,PD
R500,D2,1,2,19.8,29.7,138,post
CC,D2,3,3,19.9,29.8,131,pre
CC,D1,3,1,20,29.9,130,pre
R500,D2,NA,NA,20,29.9,140,PD
CC,D1,1,1,20.1,30,132,pre
R500,D2,1,2,20.1,30,135,pre
CC,D1,NA,NA,20.1,30,131,MD
R500,WW,NA,NA,20.2,30.1,134,MD
R500,D2,2,2,20.3,30.2,135,pre
CC,D1,NA,NA,20.4,30.3,131,PD
CC,D1,3,3,20.5,30.4,130,pre
CC,D1,1,1,20.6,30.5,129,post
CC,D1,NA,NA,20.6,30.5,131,PD
CC,D2,NA,NA,20.7,30.6,134,MD
CC,WW,2,1,20.8,30.7,128,pre
CC,D2,1,3,20.8,30.7,130,pre
R500,WW,1,1,20.8,30.7,131,pre
R500,D1,NA,NA,20.8,30.7,134,MD
R500,D1,NA,NA,20.85,30.75,135,PD
CC,D1,NA,NA,20.85,30.75,131,MD
CC,D1,2,1,20.9,30.8,129,post
R500,D1,2,1,20.9,30.8,130,pre
CC,WW,1,1,21,30.9,128,pre
R500,D1,3,1,21,30.9,133,post
CC,D1,NA,NA,21.05,30.95,131,MD
CC,D2,3,2,21.1,31,131,pre
CC,D1,NA,NA,21.2,31.1,131,MD
CC,D2,NA,NA,21.2,31.1,134,PD
CC,WW,1,2,21.3,31.2,128,pre
R500,D1,1,1,21.3,31.2,133,post
R500,D1,NA,NA,21.3,31.2,134,PD
CC,D2,NA,NA,21.35,31.25,134,PD
CC,D1,1,3,21.4,31.3,129,post
CC,D2,1,2,21.4,31.3,129,post
CC,D1,3,2,21.4,31.3,130,pre
CC,WW,2,1,21.4,31.3,131,pre
CC,D2,3,3,21.4,31.3,133,post
R500,D1,NA,NA,21.4,31.3,134,PD
CC,D1,3,3,21.5,31.4,129,post
CC,D2,NA,NA,21.5,31.4,134,MD
CC,D2,NA,NA,21.55,31.45,134,PD
CC,D2,2,3,21.6,31.5,128,pre
CC,D2,NA,NA,21.6,31.5,134,PD
CC,D2,2,1,21.7,31.6,128,pre
CC,D2,3,1,21.7,31.6,131,pre
CC,D2,1,3,21.7,31.6,133,post
CC,D1,3,2,21.8,31.7,131,pre
CC,D1,3,2,21.9,31.8,129,post
CC,D2,1,1,21.9,31.8,133,post
R500,D2,2,3,21.9,31.8,135,pre
R500,D2,1,2,21.9,31.8,139,pre
R500,D2,NA,NA,21.9,31.8,142,PD
R500,D1,2,2,22,31.9,128,pre
CC,WW,2,2,22,31.9,128,pre
CC,WW,2,3,22.1,32,128,pre
CC,D1,3,1,22.1,32,129,post
CC,D1,2,2,22.1,32,130,pre
CC,D1,3,3,22.1,32,131,pre
CC,D2,1,2,22.1,32,133,post
R500,D2,2,3,22.1,32,139,pre
R500,D1,2,1,22.2,32.1,128,pre
R500,D2,3,1,22.2,32.1,128,pre
R500,D2,1,1,22.2,32.1,135,pre
R500,WW,1,3,22.2,32.1,137,pre
R500,D2,NA,NA,22.25,32.15,142,PD
CC,D2,NA,NA,22.25,32.15,134,PD
CC,D1,2,2,22.3,32.2,129,post
CC,D1,1,3,22.3,32.2,130,pre
