Pic_names,Geno,Treatment,ID,Leaf,DOY_128,DOY_129,DOY_130,DOY_131,DOY_132,DOY_133,DOY_134,DOY_135,DOY_136
CC_D2_112_leaf6,CC,D2,112,6,NA,NA,NA,NA,NA,NA,NA,0.24,0.53
CC_D2_116_leaf6,CC,D2,116,6,NA,NA,NA,NA,NA,NA,NA,0.42,1.26
CC_D2_117_leaf6,CC,D2,117,6,NA,NA,NA,NA,NA,NA,NA,0.26,0.38
CC_D2_138_leaf6,CC,D2,138,6,NA,NA,NA,NA,NA,NA,0.33,1.53,1.94
CC_D2_142_leaf6,CC,D2,142,6,NA,NA,NA,NA,NA,NA,NA,0.54,0.92
CC_D2_99_leaf6,CC,D2,99,6,NA,NA,NA,NA,NA,NA,NA,0.27,0.62
CC_D2_104_leaf7,CC,D2,104,7,NA,NA,NA,NA,NA,NA,NA,0.24,0.32
CC_D2_106_leaf7,CC,D2,106,7,NA,NA,NA,NA,NA,NA,NA,0.2,0.525
CC_D2_107_leaf7,CC,D2,107,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_D2_112_leaf7,CC,D2,112,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_D2_116_leaf7,CC,D2,116,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_D2_117_leaf7,CC,D2,117,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_D2_138_leaf7,CC,D2,138,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_D2_142_leaf7,CC,D2,142,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_D2_99_leaf7,CC,D2,99,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
